No,Component Name,HTML Pattern,CSS Classes,Props,Use Case,Category,Code Example,Docs URL,Priority
1,wd-button,<view class='button'>,btn button primary-btn,"{""type"":""primary"",""size"":""large"",""block"":false,""disabled"":false,""loading"":false}",主要操作按钮,button,"<wd-button type=""primary"" size=""large"">提交</wd-button>",https://wot-design-uni.cn/component/button.html,1
2,wd-input,<view class='input'>,input input-field text-input,"{""v-model"":"""",""placeholder"":"""",""clearable"":true,""disabled"":false,""readonly"":false}",文本输入框,form,"<wd-input v-model=""value"" placeholder=""请输入"" clearable />",https://wot-design-uni.cn/component/input.html,1
3,wd-cell,<view class='cell'>,cell cell-item list-item,"{""title"":"""",""value"":"""",""is-link"":false,""center"":false}",列表项单元格,layout,"<wd-cell title=""标题"" value=""内容"" is-link />",https://wot-design-uni.cn/component/cell.html,1
4,wd-form,<view class='form'>,form form-container,"{""model"":{},""rules"":{}}",表单容器,form,"<wd-form :model=""formData"" :rules=""rules""><wd-form-item /></wd-form>",https://wot-design-uni.cn/component/form.html,1
5,wd-form-item,<view class='form-item'>,form-item,"{""label"":"""",""prop"":"""",""required"":false}",表单项,form,"<wd-form-item label=""用户名"" prop=""username""><wd-input /></wd-form-item>",https://wot-design-uni.cn/component/form.html,1
6,wd-checkbox,<view class='checkbox'>,checkbox,"{""v-model"":false,""disabled"":false}",复选框,form,"<wd-checkbox v-model=""checked"">同意协议</wd-checkbox>",https://wot-design-uni.cn/component/checkbox.html,1
7,wd-radio,<view class='radio'>,radio,"{""v-model"":"""",""disabled"":false}",单选框,form,"<wd-radio v-model=""value"" value=""1"">选项1</wd-radio>",https://wot-design-uni.cn/component/radio.html,1
8,wd-switch,<view class='switch'>,switch toggle,"{""v-model"":false,""disabled"":false}",开关,form,"<wd-switch v-model=""enabled"" />",https://wot-design-uni.cn/component/switch.html,1
9,wd-textarea,<view class='textarea'>,textarea,"{""v-model"":"""",""placeholder"":"""",""maxlength"":0,""show-word-limit"":false}",多行文本输入,form,"<wd-textarea v-model=""content"" placeholder=""请输入"" />",https://wot-design-uni.cn/component/textarea.html,1
10,wd-select,<view class='select'>,select dropdown,"{""v-model"":"""",""placeholder"":"""",""disabled"":false}",选择器,form,"<wd-select v-model=""value"" :columns=""options"" />",https://wot-design-uni.cn/component/select.html,1
11,wd-picker,<view class='picker'>,picker,"{""v-model"":"""",""columns"":[]}",选择器,form,"<wd-picker v-model=""value"" :columns=""columns"" />",https://wot-design-uni.cn/component/picker.html,1
12,wd-datetime-picker,<view class='datetime-picker'>,datetime-picker date-picker,"{""v-model"":"""",""type"":""date""}",日期时间选择器,form,"<wd-datetime-picker v-model=""date"" type=""date"" />",https://wot-design-uni.cn/component/datetime-picker.html,1
13,wd-calendar,<view class='calendar'>,calendar,"{""v-model"":"""",""type"":""single""}",日历,form,"<wd-calendar v-model=""date"" />",https://wot-design-uni.cn/component/calendar.html,1
14,wd-rate,<view class='rate'>,rate star-rating,"{""v-model"":0,""count"":5,""disabled"":false}",评分,form,"<wd-rate v-model=""rating"" />",https://wot-design-uni.cn/component/rate.html,1
15,wd-slider,<view class='slider'>,slider range,"{""v-model"":0,""min"":0,""max"":100}",滑块,form,"<wd-slider v-model=""value"" />",https://wot-design-uni.cn/component/slider.html,1
16,wd-upload,<view class='upload'>,upload file-upload,"{""v-model"":[],""action"":"""",""limit"":0}",文件上传,form,"<wd-upload v-model=""fileList"" action=""/api/upload"" />",https://wot-design-uni.cn/component/upload.html,1
17,wd-search,<view class='search'>,search search-bar,"{""v-model"":"""",""placeholder"":""""}",搜索框,form,"<wd-search v-model=""keyword"" placeholder=""搜索"" />",https://wot-design-uni.cn/component/search.html,1
18,wd-navbar,<view class='navbar'>,navbar nav-bar header,"{""title"":"""",""left-icon"":"""",""right-icon"":""""}",导航栏,navigation,"<wd-navbar title=""页面标题"" left-icon=""back"" />",https://wot-design-uni.cn/component/navbar.html,1
19,wd-tabbar,<view class='tabbar'>,tabbar tab-bar,"{""v-model"":0,""fixed"":true}",标签栏,navigation,"<wd-tabbar v-model=""active""><wd-tabbar-item /></wd-tabbar>",https://wot-design-uni.cn/component/tabbar.html,1
20,wd-tabbar-item,<view class='tabbar-item'>,tabbar-item,"{""name"":"""",""icon"":""""}",标签栏项,navigation,"<wd-tabbar-item name=""home"" icon=""home"">首页</wd-tabbar-item>",https://wot-design-uni.cn/component/tabbar.html,1
21,wd-tabs,<view class='tabs'>,tabs tab,"{""v-model"":0}",标签页,navigation,"<wd-tabs v-model=""active""><wd-tab /></wd-tabs>",https://wot-design-uni.cn/component/tabs.html,1
22,wd-tab,<view class='tab'>,tab tab-pane,"{""title"":"""",""name"":""""}",标签页项,navigation,"<wd-tab title=""标签1"" name=""tab1"">内容</wd-tab>",https://wot-design-uni.cn/component/tabs.html,1
23,wd-sidebar,<view class='sidebar'>,sidebar,"{""v-model"":0}",侧边导航,navigation,"<wd-sidebar v-model=""active""><wd-sidebar-item /></wd-sidebar>",https://wot-design-uni.cn/component/sidebar.html,1
24,wd-sidebar-item,<view class='sidebar-item'>,sidebar-item,"{""label"":"""",""value"":""""}",侧边导航项,navigation,"<wd-sidebar-item label=""选项1"" value=""1"" />",https://wot-design-uni.cn/component/sidebar.html,1
25,wd-pagination,<view class='pagination'>,pagination,"{""v-model"":1,""total"":0,""page-size"":10}",分页,navigation,"<wd-pagination v-model=""current"" :total=""100"" />",https://wot-design-uni.cn/component/pagination.html,1
26,wd-toast,<view class='toast'>,toast message,"{""message"":"""",""duration"":2000}",轻提示,feedback,"uni.$wdToast.show('提示信息')",https://wot-design-uni.cn/component/toast.html,2
27,wd-message-box,<view class='message-box'>,message-box dialog,"{""title"":"""",""message"":""""}",消息框,feedback,"uni.$wdMessageBox.confirm({ title: '提示', message: '确认操作?' })",https://wot-design-uni.cn/component/message-box.html,2
28,wd-loading,<view class='loading'>,loading spinner,"{""type"":""circular""}",加载中,feedback,"<wd-loading type=""circular"" />",https://wot-design-uni.cn/component/loading.html,1
29,wd-action-sheet,<view class='action-sheet'>,action-sheet,"{""v-model"":false,""actions"":[]}",动作面板,feedback,"<wd-action-sheet v-model=""show"" :actions=""actions"" />",https://wot-design-uni.cn/component/action-sheet.html,1
30,wd-dialog,<view class='dialog'>,dialog modal,"{""v-model"":false,""title"":""""}",对话框,feedback,"<wd-dialog v-model=""show"" title=""标题"">内容</wd-dialog>",https://wot-design-uni.cn/component/dialog.html,1
31,wd-notify,<view class='notify'>,notify notification,"{""message"":"""",""type"":""success""}",通知,feedback,"uni.$wdNotify.success('操作成功')",https://wot-design-uni.cn/component/notify.html,2
32,wd-popup,<view class='popup'>,popup,"{""v-model"":false,""position"":""bottom""}",弹出层,feedback,"<wd-popup v-model=""show"" position=""bottom"">内容</wd-popup>",https://wot-design-uni.cn/component/popup.html,1
33,wd-swipe-action,<view class='swipe-action'>,swipe-action,"{""v-model"":false}",滑动操作,feedback,"<wd-swipe-action><template #right><wd-button /></template></wd-swipe-action>",https://wot-design-uni.cn/component/swipe-action.html,1
34,wd-badge,<view class='badge'>,badge,"{""value"":0,""max"":99}",徽标,display,"<wd-badge :value=""10""><view /></wd-badge>",https://wot-design-uni.cn/component/badge.html,1
35,wd-tag,<view class='tag'>,tag label,"{""type"":""primary"",""plain"":false,""round"":false}",标签,display,"<wd-tag type=""primary"">标签</wd-tag>",https://wot-design-uni.cn/component/tag.html,1
36,wd-icon,<view class='icon'>,icon,"{""name"":"""",""size"":"""",""color"":""""}",图标,display,"<wd-icon name=""success"" />",https://wot-design-uni.cn/component/icon.html,1
37,wd-image,<image>,image img,"{""src"":"""",""mode"":""aspectFill"",""lazy-load"":false}",图片,display,"<wd-image :src=""url"" mode=""aspectFill"" />",https://wot-design-uni.cn/component/image.html,1
38,wd-avatar,<view class='avatar'>,avatar,"{""src"":"""",""size"":""medium"",""shape"":""circle""}",头像,display,"<wd-avatar :src=""url"" size=""large"" />",https://wot-design-uni.cn/component/avatar.html,1
39,wd-progress,<view class='progress'>,progress progress-bar,"{""percentage"":0,""show-text"":true}",进度条,display,"<wd-progress :percentage=""50"" />",https://wot-design-uni.cn/component/progress.html,1
40,wd-skeleton,<view class='skeleton'>,skeleton loading-skeleton,"{""row"":3,""loading"":true}",骨架屏,display,"<wd-skeleton :row=""3"" :loading=""loading"" />",https://wot-design-uni.cn/component/skeleton.html,1
41,wd-empty,<view class='empty'>,empty empty-state,"{""description"":"""",""image"":""""}",空状态,display,"<wd-empty description=""暂无数据"" />",https://wot-design-uni.cn/component/empty.html,1
42,wd-card,<view class='card'>,card,"{""title"":"""",""thumb"":""""}",卡片,layout,"<wd-card title=""卡片标题"">内容</wd-card>",https://wot-design-uni.cn/component/card.html,1
43,wd-grid,<view class='grid'>,grid,"{""column"":3,""border"":true}",宫格,layout,"<wd-grid :column=""3""><wd-grid-item /></wd-grid>",https://wot-design-uni.cn/component/grid.html,1
44,wd-grid-item,<view class='grid-item'>,grid-item,"{""icon"":"""",""text"":""""}",宫格项,layout,"<wd-grid-item icon=""home"" text=""首页"" />",https://wot-design-uni.cn/component/grid.html,1
45,wd-divider,<view class='divider'>,divider hr,"{""content"":""""}",分割线,layout,"<wd-divider content=""分割线"" />",https://wot-design-uni.cn/component/divider.html,1
46,wd-collapse,<view class='collapse'>,collapse accordion,"{""v-model"":[]}",折叠面板,layout,"<wd-collapse v-model=""active""><wd-collapse-item /></wd-collapse>",https://wot-design-uni.cn/component/collapse.html,1
47,wd-collapse-item,<view class='collapse-item'>,collapse-item,"{""title"":"""",""name"":""""}",折叠面板项,layout,"<wd-collapse-item title=""标题"" name=""1"">内容</wd-collapse-item>",https://wot-design-uni.cn/component/collapse.html,1
48,wd-steps,<view class='steps'>,steps stepper,"{""active"":0,""direction"":""horizontal""}",步骤条,display,"<wd-steps :active=""1""><wd-step /></wd-steps>",https://wot-design-uni.cn/component/steps.html,1
49,wd-step,<view class='step'>,step,"{""title"":"""",""description"":""""}",步骤,display,"<wd-step title=""步骤1"" description=""描述"" />",https://wot-design-uni.cn/component/steps.html,1
50,wd-swiper,<swiper>,swiper carousel slider,"{""v-model"":0,""autoplay"":true}",轮播图,display,"<wd-swiper v-model=""current""><wd-swiper-item /></wd-swiper>",https://wot-design-uni.cn/component/swiper.html,1
51,wd-swiper-item,<swiper-item>,swiper-item slide,"""",轮播项,display,"<wd-swiper-item><image :src=""url"" /></wd-swiper-item>",https://wot-design-uni.cn/component/swiper.html,1
52,wd-notice-bar,<view class='notice-bar'>,notice-bar,"{""text"":"""",""scrollable"":true}",通知栏,display,"<wd-notice-bar text=""通知内容"" />",https://wot-design-uni.cn/component/notice-bar.html,1
53,wd-countdown,<view class='countdown'>,countdown timer,"{""time"":0}",倒计时,display,"<wd-countdown :time=""60000"" />",https://wot-design-uni.cn/component/countdown.html,1
54,wd-number-keyboard,<view class='number-keyboard'>,number-keyboard,"{""v-model"":""""}",数字键盘,form,"<wd-number-keyboard v-model=""value"" />",https://wot-design-uni.cn/component/number-keyboard.html,1
55,wd-password-input,<view class='password-input'>,password-input,"{""v-model"":"""",""length"":6}",密码输入框,form,"<wd-password-input v-model=""password"" :length=""6"" />",https://wot-design-uni.cn/component/password-input.html,1
56,wd-pull-refresh,<view class='pull-refresh'>,pull-refresh,"{""v-model"":false}",下拉刷新,feedback,"<wd-pull-refresh v-model=""refreshing"" @refresh=""onRefresh""><view /></wd-pull-refresh>",https://wot-design-uni.cn/component/pull-refresh.html,1
57,wd-infinite-load,<view class='infinite-load'>,infinite-load,"{""loading"":false,""finished"":false}",无限加载,feedback,"<wd-infinite-load :loading=""loading"" :finished=""finished"" @load=""onLoad"" />",https://wot-design-uni.cn/component/infinite-load.html,1
58,wd-sticky,<view class='sticky'>,sticky fixed,"{""offset-top"":0}",粘性定位,layout,"<wd-sticky :offset-top=""0""><view /></wd-sticky>",https://wot-design-uni.cn/component/sticky.html,1
59,wd-index-bar,<view class='index-bar'>,index-bar,"{""sticky"":true}",索引栏,navigation,"<wd-index-bar><wd-index-anchor /></wd-index-bar>",https://wot-design-uni.cn/component/index-bar.html,1
60,wd-index-anchor,<view class='index-anchor'>,index-anchor,"{""index"":""""}",索引锚点,navigation,"<wd-index-anchor index=""A"" />",https://wot-design-uni.cn/component/index-bar.html,1
61,wd-drop-menu,<view class='drop-menu'>,drop-menu dropdown-menu,"""",下拉菜单,navigation,"<wd-drop-menu><wd-drop-menu-item /></wd-drop-menu>",https://wot-design-uni.cn/component/drop-menu.html,1
62,wd-drop-menu-item,<view class='drop-menu-item'>,drop-menu-item,"{""v-model"":"""",""options"":[]}",下拉菜单项,navigation,"<wd-drop-menu-item v-model=""value"" :options=""options"" />",https://wot-design-uni.cn/component/drop-menu.html,1
63,wd-cell-group,<view class='cell-group'>,cell-group,"{""title"":"""",""border"":true}",单元格组,layout,"<wd-cell-group title=""分组标题""><wd-cell /></wd-cell-group>",https://wot-design-uni.cn/component/cell.html,1
64,wd-checkbox-group,<view class='checkbox-group'>,checkbox-group,"{""v-model"":[]}",复选框组,form,"<wd-checkbox-group v-model=""checked""><wd-checkbox /></wd-checkbox-group>",https://wot-design-uni.cn/component/checkbox.html,1
65,wd-radio-group,<view class='radio-group'>,radio-group,"{""v-model"":""""}",单选框组,form,"<wd-radio-group v-model=""value""><wd-radio /></wd-radio-group>",https://wot-design-uni.cn/component/radio.html,1
66,wd-picker-view,<picker-view>,picker-view,"{""v-model"":[],""columns"":[]}",选择器视图,form,"<wd-picker-view v-model=""value"" :columns=""columns"" />",https://wot-design-uni.cn/component/picker-view.html,1
67,wd-area,<view class='area'>,area region-picker,"{""v-model"":[],""columns"":[]}",地区选择器,form,"<wd-area v-model=""value"" />",https://wot-design-uni.cn/component/area.html,1
68,wd-cascader,<view class='cascader'>,cascader,"{""v-model"":[],""options"":[]}",级联选择器,form,"<wd-cascader v-model=""value"" :options=""options"" />",https://wot-design-uni.cn/component/cascader.html,1
69,wd-stepper,<view class='stepper'>,stepper number-input,"{""v-model"":0,""min"":0,""max"":100}",步进器,form,"<wd-stepper v-model=""count"" />",https://wot-design-uni.cn/component/stepper.html,1
70,wd-popover,<view class='popover'>,popover tooltip,"{""v-model"":false,""content"":""""}",气泡弹出框,feedback,"<wd-popover v-model=""show"" content=""提示内容""><wd-button /></wd-popover>",https://wot-design-uni.cn/component/popover.html,1
71,wd-tooltip,<view class='tooltip'>,tooltip,"{""content"":"""",""placement"":""top""}",文字提示,feedback,"<wd-tooltip content=""提示""><view /></wd-tooltip>",https://wot-design-uni.cn/component/tooltip.html,1
72,wd-overlay,<view class='overlay'>,overlay mask,"{""v-model"":false,""z-index"":100}",遮罩层,feedback,"<wd-overlay v-model=""show"" />",https://wot-design-uni.cn/component/overlay.html,1
